"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.435055108E0,-3.508386612E-1,-3.507465124E-2,-1.984667778E-1,4.046072901E-1
1.440106983E0,-3.615660667E-1,-2.363014221E-2,-1.742568016E-1,4.020619817E-1
1.445158858E0,-3.587145805E-1,6.592869759E-3,-1.424846649E-1,3.860330244E-1
1.450210733E0,-3.886771202E-1,4.729223251E-2,-9.017086029E-2,4.017925374E-1
1.455262608E0,-3.003544807E-1,9.490090609E-2,1.461410522E-2,3.153293011E-1
1.460314483E0,-1.682162285E-1,9.353846312E-2,9.166622162E-2,2.131873350E-1
1.465366358E0,-8.298587799E-2,6.849306822E-2,1.579470634E-1,1.911157534E-1
1.470418233E0,1.971006393E-2,6.506466866E-2,1.602859497E-1,1.741076776E-1
1.475470108E0,1.134834290E-1,3.920394182E-2,1.872587204E-1,2.224438492E-1
1.480521983E0,1.449041367E-1,1.367181540E-2,2.339811325E-1,2.755563422E-1
1.485573858E0,1.320710182E-1,2.812147141E-3,2.804059982E-1,3.099648139E-1
1.490625733E0,1.012053490E-1,-2.075344324E-2,2.532520294E-1,2.735138360E-1
1.495677608E0,9.518957138E-2,-1.544743776E-2,2.184724808E-1,2.388093438E-1
1.500729483E0,1.075501442E-1,1.025199890E-2,1.385426521E-1,1.756878011E-1
1.505781358E0,9.413146973E-2,5.858904123E-2,3.226280212E-3,1.109225776E-1
1.510833233E0,5.155801773E-2,7.095575333E-2,-1.228847504E-1,1.509755278E-1
1.515885108E0,3.834104538E-2,1.130232215E-1,-1.924414635E-1,2.264464644E-1
1.520936983E0,-1.306390762E-2,1.334109306E-1,-1.945438385E-1,2.362550469E-1
1.525988858E0,-6.437969208E-2,1.380625963E-1,-1.998028755E-1,2.512512972E-1
